season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2003,1,TEN,REG,LV,25,38,269,2,1,1,-11,1,1,0,269,17,8.16820634907672,,0,28,76,0,0,0,2,-9.33019769540406,0,25,0,269,2,0,0,0,0,17,21.0089428346464,0,0,33,7,17,0,0,1,4,18,0,0,0,3,0,0,0,0,0,0,1,1,0,11,111,5,5,74,3,83,4,4,0,0,50,1,0,0,2,1,1,0,0,0,0,0,0,0,50;49;34;33,,,166,0,0,1,2,1,0,0.5,0,0,0,0,0
2003,1,WAS,REG,NYJ,17,23,185,1,1,4,-18,1,1,0,185,8,-4.60610119194944,,0,34,160,0,0,0,10,-0.961068482262262,0,17,0,185,1,0,0,0,0,8,13.9515258360077,0,0,36,5,7,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,6,55,2,1,10,4,89,3,3,0,0,50,1,0,1,1,0,1,0,0,0,0,0,0,0,50;22;33,,,105,0,0,1,1,0,0,1,1,1,0,0,33
2003,2,ARI,REG,SEA,25,46,205,0,4,2,-12,1,0,0,205,11,-10.731492164041,,0,24,93,0,2,1,7,-12.3591685707797,0,25,0,205,0,1,1,0,0,11,8.41924632864539,0,0,37,8,8,0,0,0,1,2,0,0,0,3,0,0,0,0,2,4,0,0,0,4,40,5,1,7,5,152,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,53,,0,53,0,0,0,0,0,,0,0,0,0,0
2003,2,ATL,REG,WAS,16,36,197,2,2,3,-13,0,0,0,197,9,-12.1659722199794,,0,22,99,2,0,0,7,2.08555575588252,0,16,0,197,2,0,0,0,0,9,12.1720344511559,0,0,56,8,8,0,0,3,6,46,0,0,0,4,0,0,0,0,0,0,2,2,0,5,35,3,6,80,6,130,1,2,1,0,37,0.5,0,0,1,0,0,0,0,0,0,1,0,0,37,45,,37,45,0,4,4,0,0,1,0,0,0,0,0
2003,2,BAL,REG,CLE,7,18,78,0,1,4,-28,3,2,0,78,4,-18.5203975597625,,0,41,343,2,0,0,10,10.3832883018341,0,7,0,78,0,0,0,0,0,4,6.34640673390823,0,0,40,9,9,0,0,1,3,32,0,2,55,12,1,1,0,0,2,2,1,1,0,10,85,4,5,54,3,63,4,5,1,0,56,0.8,0,2,0,1,1,0,0,0,0,1,0,0,20;40;56;21,45,,137,45,0,3,3,0,0,1,0,0,0,0,0
2003,2,BUF,REG,JAX,20,27,328,2,0,0,0,0,0,0,328,12,29.9896002040326,,0,32,43,3,0,0,7,-10.4589203312062,0,20,0,328,2,0,0,0,0,12,36.3601619430119,0,0,50,2,8,0,0,0,3,22,0,0,0,3,0,1,0,0,2,2,0,0,0,6,55,4,3,38,3,89,1,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,5,5,0,0,1,0,0,0,0,0
2003,2,CAR,REG,TB,9,23,96,0,2,1,-9,1,0,0,96,6,-10.6921693675246,,0,40,171,0,0,0,5,-2.18754070339492,0,9,0,96,0,0,0,0,0,6,8.54793389816769,0,0,51,13,15,0,0,1,1,2,0,1,53,6,0,0,0,0,0,0,0,0,0,16,120,3,3,66,2,47,4,4,0,0,47,1,0,2,1,1,0,0,0,0,0,0,0,0,28;35;20;47,,,130,0,0,0,0,0,0,,1,1,0,0,47
2003,2,CHI,REG,MIN,14,23,145,1,1,3,-17,0,0,0,145,7,-3.49629964972165,,0,17,80,0,1,0,3,-0.44913483975688,0,14,0,145,1,0,0,0,0,7,9.90308910270687,0,0,48,13,19,0,0,2,3,16,0,0,0,2,0,0,0,0,2,2,1,1,0,6,50,5,1,11,4,92,2,2,0,0,43,1,0,0,0,2,0,0,0,0,0,0,0,0,42;43,,,85,0,0,1,1,0,0,1,0,0,0,0,0
2003,2,CIN,REG,LV,25,41,303,1,2,2,-16,0,0,0,303,15,4.99032348978366,,0,39,129,1,0,0,9,-6.78094754094491,0,25,0,303,1,0,0,0,0,15,28.5333705605503,0,0,26,17,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,65,3,3,56,5,128,2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,31;22,,,53,0,0,2,2,0,0,1,0,0,0,0,0
2003,2,CLE,REG,BAL,17,37,147,1,2,3,-32,0,0,0,147,6,-15.4412375822154,,0,20,60,0,1,1,2,-9.18871307885274,0,17,0,147,1,0,0,0,0,6,11.6128366502526,0,0,43,13,13,0,0,3,4,28,0,1,21,2,0,0,0,0,1,2,2,2,0,7,50,4,2,18,6,133,2,2,0,0,44,1,0,0,1,1,0,0,0,0,0,0,0,0,44;35,,,79,0,0,1,1,0,0,1,0,0,0,0,0
2003,2,DAL,REG,NYG,25,40,321,0,1,4,-25,2,0,0,321,16,0.0804140609318544,,0,36,107,1,0,0,5,-7.08145470714214,0,25,0,321,0,1,0,0,0,16,21.1009666155071,0,0,34,12,12,0,0,2,2,9,0,2,41,12,1,0,0,0,2,2,1,1,0,11,108,6,4,45,5,120,7,8,1,0,52,0.875,0,2,2,2,1,0,0,0,0,0,1,0,37;49;42;21;36;52;25,53,,262,53,0,2,2,0,0,1,1,1,0,0,25
